Price,Close,High,Low,Open,Volume,RSI,MACD,MACD_Signal,ATR
Ticker,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI,,,,
Date,,,,,,,,,
2016-03-28,7615.10009765625,7749.39990234375,7587.7001953125,7741.0,242400,69.77083989416704,100.85783303813423,64.06645707667336,108.82505580357143
2016-03-29,7597.0,7652.89990234375,7582.25,7606.5498046875,216800,55.97635710374521,95.88316015489636,70.42979769231796,114.71076311383929
2016-03-30,7735.2001953125,7741.9501953125,7643.4501953125,7651.10009765625,232600,59.44597658402821,94.44680835892723,75.23319982563982,118.310791015625
2016-03-31,7738.39990234375,7777.60009765625,7702.0,7727.64990234375,380100,66.2323674103201,98.35168173192778,79.85689620689742,119.15363420758929
2016-04-01,7713.0498046875,7740.14990234375,7666.10009765625,7718.0498046875,183900,60.81535050837092,99.52441881532377,83.7904007285827,116.51433454241071
2016-04-04,7758.7998046875,7764.4501953125,7704.39990234375,7733.14990234375,155500,66.48734944680984,100.51361470434858,87.13504352373587,114.75006975446429
2016-04-05,7603.2001953125,7736.2998046875,7588.64990234375,7736.2998046875,203800,63.86737279988814,100.39444569092848,89.78692395717441,118.23577008928571
2016-04-06,7614.35009765625,7638.64990234375,7591.75,7636.0498046875,165600,56.326530863915885,91.1598324104325,90.06150564782604,121.96072823660714
2016-04-07,7546.4501953125,7630.75,7535.85009765625,7630.39990234375,234400,62.05912903591778,82.4351735859209,88.53623923544501,119.78212193080357
2016-04-08,7555.2001953125,7569.35009765625,7526.7001953125,7542.35009765625,143400,48.93482903767599,67.63626645676413,84.35624467970885,118.02852957589286
2016-04-11,7671.39990234375,7678.7998046875,7516.85009765625,7577.7998046875,179800,53.00006314421528,58.09879429303055,79.10475460237319,122.76063755580357
2016-04-12,7708.9501953125,7717.39990234375,7663.35009765625,7669.25,163400,53.446719795554664,57.259493570953964,74.73570239608935,119.95350864955357
2016-04-13,7850.4501953125,7864.7998046875,7772.2001953125,7777.14990234375,220400,55.38543341722712,64.55679155605503,72.69992022808249,126.13563755580357
2016-04-18,7914.7001953125,7920.60009765625,7842.75,7908.14990234375,184600,61.001486759725765,79.98850033006784,74.15763624847956,132.36422293526786
2016-04-20,7914.75,7950.39990234375,7877.5498046875,7950.0498046875,205300,61.810058800098425,94.50976294305383,78.22806158739442,126.017822265625
2016-04-21,7912.0498046875,7978.4501953125,7884.10009765625,7953.64990234375,223700,73.0111530421125,105.09697348770896,83.60184396745734,121.41782924107143
2016-04-22,7899.2998046875,7923.35009765625,7873.35009765625,7891.7998046875,183300,65.59947241541464,107.26019933230782,88.33351504042744,117.48207310267857
2016-04-25,7855.0498046875,7911.0,7827.0,7894.7998046875,146300,61.97435149408738,107.97201218112605,92.26121446856716,114.44635881696429
